id,ind1,inda,act,logp,lumo,active
integer,float,float,float,float,float,integer
primary key,,,,,,
0,0.0,0.0,-0.7,2.29,-3.025,0
1,0.0,0.0,0.57,2.13,-0.798,1
2,1.0,0.0,0.77,4.35,-2.138,1
3,1.0,0.0,-0.22,5.41,-1.429,0
4,1.0,0.0,-0.22,5.41,-1.478,0
5,0.0,0.0,0.63,0.88,-0.857,1
6,0.0,0.0,-2.94,3.61,-1.465,0
7,1.0,0.0,-2.0,3.51,-1.092,0
8,0.0,0.0,2.54,1.58,-1.293,1
9,1.0,0.0,1.64,5.87,-1.767,1
10,0.0,0.0,-4.0,2.13,-1.125,0
11,0.0,0.0,-4.0,1.9,-1.358,0
12,0.0,0.0,-4.0,1.58,-1.834,0
13,0.0,0.0,-4.0,2.41,-1.306,0
14,0.0,0.0,-4.0,2.39,-1.36,0
15,1.0,0.0,-0.52,5.41,-1.723,0
16,0.0,0.0,-4.0,3.09,-1.351,0
17,1.0,0.0,-0.95,4.78,-1.755,0
18,0.0,0.0,-4.0,3.12,-1.538,0
19,1.0,0.0,-4.0,1.38,-1.392,0
20,1.0,0.0,0.3,6.16,-1.35,1
21,1.0,0.0,-4.0,1.38,-1.447,0
22,1.0,0.0,-4.0,6.57,-1.717,0
23,1.0,0.0,-4.0,2.55,-1.636,0
24,1.0,0.0,-4.0,2.55,-1.808,0
25,1.0,0.0,-4.0,5.41,-1.113,0
26,1.0,0.0,-4.0,4.78,-1.748,0
27,1.0,0.0,-4.0,5.06,-1.82,0
28,1.0,0.0,1.48,5.87,-1.845,1
29,0.0,0.0,-4.0,2.86,-0.56,0
30,0.0,0.0,-4.0,2.5,-0.746,0
31,0.0,0.0,-4.0,1.85,-1.089,0
32,0.0,0.0,-4.0,2.5,-0.868,0
33,0.0,0.0,-4.0,2.13,-1.05,0
34,0.0,0.0,-4.0,2.03,-1.117,0
35,0.0,0.0,-4.0,1.69,-1.321,0
36,0.0,0.0,0.64,1.01,-1.785,1
37,0.0,0.0,1.97,0.96,-1.851,1
38,0.0,0.0,1.02,0.23,-1.412,1
39,0.0,0.0,1.03,-0.47,-1.645,1
40,0.0,0.0,2.59,0.95,-1.526,1
41,0.0,0.0,2.24,-0.04,-1.503,1
