id,drug_id,name
integer,integer,varchar(64)
primary key,foreign key[drugs.id],
1408,1,benzene
1409,1,hetero_aromatic_5_ring
1410,1,ring_size_6
1411,1,ring_size_5
1412,1,nitro
1413,2,benzene
1414,2,benzene
1415,2,benzene
1416,2,benzene
1417,2,carbon_5_aromatic_ring
1418,2,ring_size_6
1419,2,ring_size_6
1420,2,ring_size_6
1421,2,ring_size_6
1422,2,ring_size_5
1423,2,nitro
1424,2,phenanthrene
1425,2,ball3
1426,2,ball3
1427,5,benzene
1428,5,ring_size_6
1429,5,nitro
1430,8,benzene
1431,8,hetero_aromatic_5_ring
1432,8,ring_size_6
1433,8,ring_size_5
1434,8,nitro
1435,9,benzene
1436,9,benzene
1437,9,benzene
1438,9,benzene
1439,9,benzene
1440,9,ring_size_6
1441,9,ring_size_6
1442,9,ring_size_6
1443,9,ring_size_6
1444,9,ring_size_6
1445,9,nitro
1446,9,anthracene
1447,9,phenanthrene
1448,9,ball3
1449,9,ball3
1450,20,benzene
1451,20,benzene
1452,20,benzene
1453,20,benzene
1454,20,carbon_6_ring
1455,20,ring_size_6
1456,20,ring_size_6
1457,20,ring_size_6
1458,20,ring_size_6
1459,20,ring_size_6
1460,20,nitro
1461,20,phenanthrene
1462,28,benzene
1463,28,benzene
1464,28,benzene
1465,28,benzene
1466,28,carbon_6_ring
1467,28,ring_size_6
1468,28,ring_size_6
1469,28,ring_size_6
1470,28,ring_size_6
1471,28,ring_size_6
1472,28,nitro
1473,36,hetero_aromatic_5_ring
1474,36,ring_size_5
1475,36,nitro
1476,37,carbon_5_aromatic_ring
1477,37,ring_size_5
1478,37,nitro
1479,38,hetero_aromatic_5_ring
1480,38,ring_size_5
1481,38,nitro
1482,39,hetero_aromatic_5_ring
1483,39,ring_size_5
1484,39,ring_size_5
1485,39,nitro
1486,40,hetero_aromatic_5_ring
1487,40,ring_size_5
1488,40,ring_size_5
1489,40,nitro
1490,41,hetero_aromatic_5_ring
1491,41,ring_size_5
1492,41,ring_size_5
1493,41,nitro
1494,0,benzene
1495,0,benzene
1496,0,ring_size_6
1497,0,ring_size_6
1498,0,nitro
1499,0,nitro
1500,0,nitro
1501,0,nitro
1502,3,benzene
1503,3,benzene
1504,3,benzene
1505,3,benzene
1506,3,ring_size_6
1507,3,ring_size_6
1508,3,ring_size_6
1509,3,ring_size_6
1510,3,nitro
1511,3,phenanthrene
1512,4,benzene
1513,4,benzene
1514,4,benzene
1515,4,benzene
1516,4,ring_size_6
1517,4,ring_size_6
1518,4,ring_size_6
1519,4,ring_size_6
1520,4,nitro
1521,4,phenanthrene
1522,6,benzene
1523,6,ring_size_6
1524,6,nitro
1525,7,benzene
1526,7,benzene
1527,7,ring_size_6
1528,7,ring_size_6
1529,7,ring_size_5
1530,7,nitro
1531,29,benzene
1532,29,ring_size_6
1533,29,ring_size_5
1534,29,nitro
1535,30,benzene
1536,30,hetero_aromatic_5_ring
1537,30,ring_size_6
1538,30,ring_size_5
1539,30,nitro
1540,31,benzene
1541,31,ring_size_6
1542,31,nitro
1543,32,benzene
1544,32,hetero_aromatic_5_ring
1545,32,ring_size_6
1546,32,ring_size_5
1547,32,nitro
1548,33,benzene
1549,33,hetero_aromatic_5_ring
1550,33,ring_size_6
1551,33,ring_size_5
1552,33,nitro
1553,34,benzene
1554,34,hetero_aromatic_5_ring
1555,34,ring_size_6
1556,34,ring_size_5
1557,34,nitro
1558,35,benzene
1559,35,ring_size_6
1560,35,nitro
1561,10,benzene
1562,10,hetero_aromatic_5_ring
1563,10,ring_size_6
1564,10,ring_size_5
1565,10,nitro
1566,11,benzene
1567,11,ring_size_6
1568,11,nitro
1569,12,benzene
1570,12,ring_size_6
1571,12,nitro
1572,12,nitro
1573,13,benzene
1574,13,ring_size_6
1575,13,nitro
1576,14,benzene
1577,14,ring_size_6
1578,14,nitro
1579,15,benzene
1580,15,benzene
1581,15,benzene
1582,15,benzene
1583,15,ring_size_6
1584,15,ring_size_6
1585,15,ring_size_6
1586,15,ring_size_6
1587,15,nitro
1588,15,anthracene
1589,16,benzene
1590,16,ring_size_6
1591,16,nitro
1592,17,benzene
1593,17,benzene
1594,17,benzene
1595,17,ring_size_6
1596,17,ring_size_6
1597,17,ring_size_6
1598,17,nitro
1599,17,anthracene
1600,18,benzene
1601,18,ring_size_6
1602,18,nitro
1603,19,benzene
1604,19,benzene
1605,19,carbon_6_ring
1606,19,ring_size_6
1607,19,ring_size_6
1608,19,ring_size_6
1609,19,nitro
1610,21,benzene
1611,21,benzene
1612,21,carbon_6_ring
1613,21,ring_size_6
1614,21,ring_size_6
1615,21,ring_size_6
1616,21,nitro
1617,22,benzene
1618,22,benzene
1619,22,benzene
1620,22,benzene
1621,22,carbon_6_ring
1622,22,ring_size_6
1623,22,ring_size_6
1624,22,ring_size_6
1625,22,ring_size_6
1626,22,ring_size_6
1627,22,nitro
1628,22,phenanthrene
1629,22,ball3
1630,22,ball3
1631,23,benzene
1632,23,benzene
1633,23,benzene
1634,23,carbon_6_ring
1635,23,ring_size_6
1636,23,ring_size_6
1637,23,ring_size_6
1638,23,ring_size_6
1639,23,nitro
1640,24,benzene
1641,24,benzene
1642,24,benzene
1643,24,carbon_6_ring
1644,24,ring_size_6
1645,24,ring_size_6
1646,24,ring_size_6
1647,24,ring_size_6
1648,24,nitro
1649,24,anthracene
1650,25,benzene
1651,25,benzene
1652,25,benzene
1653,25,carbon_6_ring
1654,25,ring_size_6
1655,25,ring_size_6
1656,25,ring_size_6
1657,25,ring_size_6
1658,25,nitro
1659,26,benzene
1660,26,benzene
1661,26,benzene
1662,26,benzene
1663,26,carbon_6_ring
1664,26,ring_size_6
1665,26,ring_size_6
1666,26,ring_size_6
1667,26,ring_size_6
1668,26,ring_size_6
1669,26,nitro
1670,26,phenanthrene
1671,26,ball3
1672,26,ball3
1673,27,benzene
1674,27,benzene
1675,27,benzene
1676,27,benzene
1677,27,ring_size_6
1678,27,ring_size_6
1679,27,ring_size_6
1680,27,ring_size_6
1681,27,nitro
1682,27,anthracene
1710,8,methyl
1711,29,methyl
1712,30,methyl
1713,32,methyl
